,Return,Volatility,Sharpe Ratio,Sum of Weights
0,0.37984199307950794,0.14100863495913013,2.68665811274119,1.0
1,0.3611414989073508,0.1388999226482982,2.5928128111291158,0.9999999999999999
2,0.3837198328842463,0.1484606138145834,2.5779216658920445,0.9999999999999998
3,0.403137727482748,0.14589745610281948,2.75630390155224,1.0
4,0.38502529311101646,0.1396645984378918,2.7496251548798223,1.0
5,0.3717822965604265,0.14183000570511883,2.6142725914523774,1.0
6,0.42006564022156145,0.14253918256144227,2.940003111361474,1.0
7,0.3694386561784937,0.13724086466559415,2.6846133407585566,1.0
8,0.3728750585488077,0.13750253502774432,2.704496018737206,1.0000000000000002
9,0.4004415997260074,0.14217811507602465,2.809445036688103,1.0000000000000002
10,0.3961610979429057,0.14117928350076875,2.7990020075484656,0.9999999999999998
11,0.3780289230049903,0.13938515281506317,2.704943212317842,1.0
12,0.3995262748636058,0.1390327773653961,2.8664195768471723,0.9999999999999999
13,0.41687472640562384,0.136176993092234,3.0539279577420824,1.0
14,0.38780546354525564,0.14416355999310787,2.6831014964096886,1.0000000000000002
15,0.3743394334385077,0.14092277967939498,2.6492482924894754,0.9999999999999999
16,0.4211619833421885,0.1449957467832691,2.8977538490851136,1.0
17,0.38766688461549137,0.14169530865546318,2.7288615853590796,0.9999999999999999
18,0.3789513127517838,0.1309460310838409,2.8863136180873834,1.0
19,0.3718809292018935,0.13728296768151144,2.7015800682741347,1.0
20,0.42462461721881806,0.1428945948969881,2.96459510959254,0.9999999999999999
21,0.3965025130453566,0.14069256653106876,2.811111651431981,1.0
22,0.391390100937255,0.13695162311621253,2.8505693620438737,1.0000000000000002
23,0.4178793236293022,0.12968536001556866,3.214544213620227,1.0000000000000002
24,0.41505468056547423,0.14333590521551648,2.888701752313291,1.0
25,0.4084498173373914,0.14738867655517093,2.7644580768379017,1.0
26,0.36282232262405945,0.1439891012104042,2.512845205522509,1.0
27,0.3734817347116263,0.1478519133844236,2.519289241412467,1.0000000000000002
28,0.3906221419474119,0.13222113890926013,2.9467462250102026,1.0000000000000002
29,0.40826609525302576,0.13704719404422536,2.9717215160319177,0.9999999999999999
30,0.3959402657641035,0.14032345950516353,2.8144992088765513,1.0
31,0.4000282410776514,0.14991822473946978,2.66163931550743,1.0
32,0.35980687063052436,0.14004186780335764,2.5621399961213713,1.0000000000000002
33,0.3910461580824307,0.1405112992263097,2.7759059963869257,1.0
34,0.41368615680384674,0.1556513091224152,2.6513503749543226,0.9999999999999999
35,0.393435386217199,0.1385544279706671,2.832355428584932,1.0000000000000002
36,0.36702317545876306,0.14732933773588455,2.4843875706203757,1.0
37,0.4259158552910489,0.14550646615169913,2.9202541064260945,1.0
38,0.35355654993074825,0.14008363333540647,2.5167576078399643,1.0000000000000002
39,0.35640304073538553,0.13773799983220822,2.580283154745501,1.0000000000000002
40,0.38743160715576586,0.14248327451078366,2.712119078415195,1.0
41,0.3842960601511881,0.14280041411325356,2.684138295615865,1.0
42,0.41725670126736303,0.14492592865890777,2.8722030979497752,1.0
43,0.42079121731129454,0.14506464888846807,2.893821620414551,1.0
44,0.4037105367421697,0.14045516360644272,2.867182141274422,0.9999999999999997
45,0.4093459294401829,0.14700231973908082,2.7778196300913436,1.0
46,0.37041953238473235,0.14043953281990348,2.6304525867261868,1.0000000000000002
47,0.42343655478132275,0.15134420913995864,2.7912303825953853,1.0
48,0.3917546223223632,0.14643396406100365,2.6684698787473704,1.0
49,0.38825304908323033,0.13409438858430064,2.887913902823587,1.0000000000000002
50,0.40004383171978264,0.13670104085349696,2.9190987078689434,0.9999999999999997
51,0.3999551691699375,0.13890155815551247,2.8722152182286695,0.9999999999999999
52,0.37005575984543576,0.14131983321170868,2.6114930329174673,0.9999999999999998
53,0.3458429225076898,0.13365271484511712,2.5801415474972544,1.0000000000000002
54,0.38025043295575156,0.1576126341573825,2.406218479776532,0.9999999999999999
55,0.3869192058533404,0.1363577661400815,2.8301960114019638,0.9999999999999999
56,0.415989565022922,0.15541620775983903,2.6701820293041476,0.9999999999999999
57,0.3823025261388828,0.14832313583442794,2.5707555601071443,0.9999999999999999
58,0.40527136740184627,0.1405824740932019,2.8756882393023377,1.0
59,0.42465077871748536,0.14097808779455176,3.0050824588773986,0.9999999999999999
60,0.40074935354316327,0.138853425845043,2.878930434091512,1.0
61,0.3947359330870872,0.14462854424406305,2.722394359599246,1.0000000000000002
62,0.4029171360683116,0.1413956795895858,2.8424994118272475,1.0
63,0.3913428740017642,0.14267706110319464,2.735848853232541,1.0000000000000002
64,0.40925018655453166,0.13980095381115734,2.9202246152482956,1.0
65,0.3963756417299563,0.13963067723765732,2.8315814944950115,1.0
66,0.3841503126511564,0.139010905826056,2.7562608154686186,1.0
67,0.3916284014588575,0.14241358805735285,2.7429152427614105,1.0000000000000002
68,0.40251038567623876,0.14493993364497762,2.7701846936105015,0.9999999999999998
69,0.41921430053508,0.1441694124390067,2.9008531938909905,0.9999999999999998
70,0.4088598146596111,0.15289101621127024,2.667650623081842,0.9999999999999999
71,0.39020846286359334,0.13989794291691063,2.7820885336016365,1.0
72,0.4051781131238413,0.14773903973523625,2.7357570067341075,1.0
73,0.3720079317086585,0.13752748173803708,2.6977003215644997,0.9999999999999999
74,0.36352407750269616,0.14124723263417432,2.5665924262149726,0.9999999999999998
75,0.39741614268108444,0.1485971843000595,2.6677231102886094,1.0
76,0.4029853214802786,0.1450162111900531,2.77200264840357,1.0
77,0.3971377771822597,0.14603265652576997,2.7126656914055,1.0000000000000002
