Date,ADANIENT.NS,ADANIPORTS.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFC.NS,HDFCBANK.NS,HINDALCO.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBIN.NS,SBILIFE.NS,SUNPHARMA.NS,TATACONSUM.NS,TATAMOTORS.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
2023-10-03 00:00:00,2386.28759765625,827.84814453125,3131.037109375,1040.2471923828125,4976.0087890625,7927.8017578125,1560.0657958984375,920.1720581054688,157.91700744628906,4437.68896484375,1172.8553466796875,273.1872253417969,3701.730224609375,5429.5478515625,3314.67333984375,1906.5137939453125,1192.3074951171875,,1487.734375,477.21435546875,932.2742309570312,1419.6395263671875,1395.841064453125,425.8320617675781,764.26318359375,1725.1593017578125,3049.280029296875,1526.224853515625,10250.0849609375,2202.8349609375,234.7303009033203,175.2880859375,190.9451446533203,2310.308837890625,593.0054931640625,1290.132568359375,1131.3922119140625,865.929931640625,618.541259765625,125.4720230102539,3454.994873046875,1181.3421630859375,3185.82568359375,8255.9404296875,605.905517578125,404.587158203125
2023-10-04 00:00:00,2463.956298828125,821.0771484375,3134.05224609375,994.7822265625,4878.947265625,7814.818359375,1531.583740234375,919.1278686523438,157.91700744628906,4474.2626953125,1157.23779296875,269.4904479980469,3685.132080078125,5385.90576171875,3363.630859375,1881.11279296875,1193.125732421875,,1508.9447021484375,470.70166015625,922.1116943359375,1385.9139404296875,1405.9156494140625,422.2975769042969,750.71923828125,1720.1646728515625,3004.134765625,1511.0360107421875,10035.064453125,2269.067626953125,228.8425750732422,173.53140258789062,190.4188690185547,2306.322265625,576.5809326171875,1268.27197265625,1113.89794921875,858.828857421875,611.7122802734375,122.82534790039062,3478.49462890625,1170.4632568359375,3156.322021484375,8072.97509765625,601.962646484375,404.038330078125
2023-10-05 00:00:00,2465.35595703125,821.6746215820312,3169.991455078125,1002.476318359375,4970.65185546875,7811.68408203125,1541.5775146484375,923.702392578125,159.35116577148438,4475.64453125,1151.3377685546875,270.80072021484375,3674.646484375,5375.41796875,3405.86328125,1875.4571533203125,1189.1793212890625,,1515.0611572265625,467.867919921875,932.8195190429688,1386.457763671875,1424.50732421875,422.2491455078125,749.6278076171875,1732.351318359375,3071.902099609375,1526.7708740234375,10114.6142578125,2262.404296875,227.57745361328125,173.0091552734375,188.12234497070312,2306.272705078125,582.3836669921875,1272.164794921875,1109.2392578125,854.31005859375,617.6937866210938,122.77633666992188,3529.230224609375,1171.0460205078125,3206.009521484375,8129.24169921875,603.2103881835938,405.93426513671875
2023-10-06 00:00:00,2477.10107421875,827.200927734375,3159.610107421875,1000.1781005859375,4974.17333984375,8127.74755859375,1633.619384765625,920.9179077148438,160.62338256835938,4480.13623046875,1153.2218017578125,269.35003662109375,3699.096435546875,5392.9638671875,3412.588623046875,1888.5048828125,1191.3450927734375,,1513.3841552734375,469.90625,937.1324462890625,1419.046142578125,1439.3514404296875,428.15606689453125,759.25244140625,1741.99072265625,3069.570556640625,1537.5916748046875,10205.6533203125,2261.767578125,229.2318572998047,172.29696655273438,188.5529327392578,2310.159423828125,584.448974609375,1280.6495361328125,1117.366943359375,868.7604370117188,620.5350952148438,123.41349792480469,3560.7431640625,1182.022216796875,3298.955322265625,8147.13525390625,611.0462646484375,406.9820556640625
2023-10-09 00:00:00,2441.615478515625,786.6747436523438,3117.145751953125,995.4817504882812,4966.93212890625,7987.6015625,1620.5277099609375,919.4262084960938,157.29246520996094,4464.39111328125,1149.751220703125,269.35003662109375,3682.697021484375,5462.50244140625,3407.84130859375,1874.3160400390625,1202.79931640625,,1495.8238525390625,467.1221923828125,930.5887451171875,1412.86474609375,1436.18798828125,426.5098876953125,751.661865234375,1717.417724609375,3050.718505859375,1504.1861572265625,10148.939453125,2258.7666015625,228.40464782714844,172.5343780517578,187.78744506835938,2290.47607421875,575.4498901367188,1274.9598388671875,1113.154541015625,874.6200561523438,615.4507446289062,121.40398406982422,3577.409423828125,1177.8939208984375,3256.84326171875,8062.28857421875,608.8502197265625,404.7368469238281
2023-10-10 00:00:00,2497.29296875,815.9989624023438,3115.860595703125,1011.4693603515625,4996.888671875,8043.22216796875,1632.0703125,943.0942993164062,157.47752380371094,4471.74560546875,1145.3387451171875,283.80963134765625,3690.99609375,5446.2978515625,3420.84716796875,1903.983642578125,1214.5426025390625,,1504.3079833984375,477.91033935546875,943.0812377929688,1404.9525146484375,1455.36376953125,430.3348693847656,765.900390625,1754.1773681640625,3052.008544921875,1526.671630859375,10277.9208984375,2267.275634765625,229.57247924804688,174.2435760498047,189.41412353515625,2300.591796875,581.8919067382812,1299.7154541015625,1116.5740966796875,882.66455078125,628.6101684570312,122.82534790039062,3568.11767578125,1192.5611572265625,3258.53759765625,8110.2041015625,620.6788330078125,406.88226318359375
2023-10-11 00:00:00,2487.596923828125,811.3687744140625,3128.1201171875,1018.3140869140625,5023.57177734375,8061.48046875,1635.5181884765625,950.3041381835938,158.47215270996094,4496.42431640625,1162.0965576171875,282.4993591308594,3727.671142578125,5534.82421875,3448.39208984375,1964.7078857421875,1198.94921875,,1518.8592529296875,481.1418151855469,944.9649658203125,1405.5953369140625,1454.6337890625,434.0630187988281,771.2088012695312,1769.460693359375,3064.609375,1544.987548828125,10314.673828125,2290.375,232.29734802246094,174.00619506835938,189.94041442871094,2337.117919921875,578.6463012695312,1307.0023193359375,1118.80419921875,882.3169555664062,632.049560546875,122.48225402832031,3549.43603515625,1196.3009033203125,3269.80078125,8293.8154296875,626.6181030273438,420.25372314453125
2023-10-12 00:00:00,2505.33984375,811.4683837890625,3123.374755859375,1017.6646118164062,5065.431640625,7974.26806640625,1633.769287109375,945.0831909179688,161.3173065185547,4502.1494140625,1148.164794921875,287.50640869140625,3732.34228515625,5497.64453125,3455.90869140625,1986.2391357421875,1177.9176025390625,,1528.97119140625,481.63897705078125,946.1051635742188,1408.6119384765625,1426.5028076171875,436.4355163574219,777.360595703125,1761.9188232421875,3057.713623046875,1555.2623291015625,10481.8955078125,2277.84814453125,235.11956787109375,175.14564514160156,192.09339904785156,2341.453125,576.3842163085938,1311.2945556640625,1120.439697265625,886.2398681640625,634.990478515625,123.41349792480469,3483.214111328125,1164.392333984375,3274.2861328125,8302.513671875,619.48095703125,416.2123718261719
2023-10-13 00:00:00,2453.560546875,810.2734985351562,3113.191162109375,993.2833862304688,5011.66845703125,8011.431640625,1645.511962890625,948.9119262695312,160.8546905517578,4515.92041015625,1157.931884765625,288.2083435058594,3712.563720703125,5428.056640625,3438.3037109375,1967.1883544921875,1208.8634033203125,,1515.0611572265625,477.86065673828125,943.1803588867188,1447.628662109375,1393.06689453125,434.1598815917969,771.2088012695312,1760.0709228515625,3065.50244140625,1551.0927734375,10627.1728515625,2325.152099609375,235.55751037597656,175.57293701171875,193.09811401367188,2341.353515625,566.6475219726562,1314.0894775390625,1135.20849609375,907.0960693359375,665.0476684570312,122.58029174804688,3511.040283203125,1159.8756103515625,3273.040283203125,8319.662109375,621.9265747070312,410.17523193359375
2023-10-16 00:00:00,2428.370849609375,802.2081298828125,3076.856689453125,1004.025146484375,5035.77294921875,7995.85986328125,1641.314453125,941.3042602539062,160.64651489257812,4527.12451171875,1154.610107421875,291.9986572265625,3632.902587890625,5460.7626953125,3448.39208984375,1958.3575439453125,1223.06103515625,,1508.9940185546875,480.6446838378906,943.279541015625,1430.5186767578125,1395.987060546875,434.7408752441406,784.5542602539062,1747.8343505859375,3077.70654296875,1563.1048583984375,10604.337890625,2281.14501953125,236.91995239257812,177.1397247314453,194.29421997070312,2336.121337890625,566.15576171875,1319.8292236328125,1125.2965087890625,902.3786010742188,664.1505126953125,124.49177551269531,3465.023681640625,1150.6478271484375,3290.632568359375,8243.3154296875,629.8123168945312,409.3270568847656
